ID;post_author;post_date;post_date_gmt;post_content;post_title;post_excerpt;post_status;comment_status;ping_status;post_password;post_name;to_ping;pinged;post_modified;post_modified_gmt;post_content_filtered;post_parent;guid;menu_order;post_type;post_mime_type;comment_count
3;1;2017-05-21 12:29:45;0000-00-00 00:00:00;"";Automatisch gespeicherter Entwurf;"";auto-draft;open;open;"";"";"";"";2017-05-21 12:29:45;0000-00-00 00:00:00;"";0;http://am-news.local/?p=3;0;post;"";0
5;1;2012-10-02 20:52:16;2012-10-02 18:52:16;"<strong>Vita:</strong>

Siehe <a href=""https://github.com/TheRojam/application/blob/master/CV-EN-2017-07.md"">CV-EN-2017-07.md</a> auf <a href=""https://github.com/TheRojam/application"">Github</a>!

Dort findet man auch eine aktuelle PDF meines Lebenslaufes auf Deutsch und englisch.";Über Anton;"";publish;closed;closed;"";uber-anton;"";"";2017-10-21 19:29:55;2017-10-21 17:29:55;"";0;http://am-news.eu/?page_id=5;1;page;"";0
10;1;2012-10-02 21:09:14;2012-10-02 19:09:14;"Angaben gemäß § 5 TMG:

Anton Müller

<h2>Kontakt:</h2>
<table>
<tbody>
<tr>
<td>Telefon:</td>
<td>015207797683</td>
</tr>
<tr>
<td>E-Mail:</td>
<td>anton@am-news.de</td>
</tr>
<tr>
<td>Adresse:</td>
<td>Otto - von - Guericke - Straße 104<br /> 39140 Magdeburg</td>
</tr>
</tbody>
</table>
Quelle: <em>Impressumgenerator <a href=""http://www.e-recht24.de"">von e-Recht24.de</a></em>
<h2>Haftungsausschluss:</h2>
<strong>Haftung für Inhalte</strong>

Die Inhalte unserer Seiten wurden mit größter Sorgfalt erstellt. Für die Richtigkeit, Vollständigkeit und Aktualität der Inhalte können wir jedoch keine Gewähr übernehmen. Als Diensteanbieter sind wir gemäß § 7 Abs.1 TMG für eigene Inhalte auf diesen Seiten nach den allgemeinen Gesetzen verantwortlich. Nach §§ 8 bis 10 TMG sind wir als Diensteanbieter jedoch nicht verpflichtet, übermittelte oder gespeicherte fremde Informationen zu überwachen oder nach Umständen zu forschen, die auf eine rechtswidrige Tätigkeit hinweisen. Verpflichtungen zur Entfernung oder Sperrung der Nutzung von Informationen nach den allgemeinen Gesetzen bleiben hiervon unberührt. Eine diesbezügliche Haftung ist jedoch erst ab dem Zeitpunkt der Kenntnis einer konkreten Rechtsverletzung möglich. Bei Bekanntwerden von entsprechenden Rechtsverletzungen werden wir diese Inhalte umgehend entfernen.

<strong>Haftung für Links</strong>

Unser Angebot enthält Links zu externen Webseiten Dritter, auf deren Inhalte wir keinen Einfluss haben. Deshalb können wir für diese fremden Inhalte auch keine Gewähr übernehmen. Für die Inhalte der verlinkten Seiten ist stets der jeweilige Anbieter oder Betreiber der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlinkung auf mögliche Rechtsverstöße überprüft. Rechtswidrige Inhalte waren zum Zeitpunkt der Verlinkung nicht erkennbar. Eine permanente inhaltliche Kontrolle der verlinkten Seiten ist jedoch ohne konkrete Anhaltspunkte einer Rechtsverletzung nicht zumutbar. Bei Bekanntwerden von Rechtsverletzungen werden wir derartige Links umgehend entfernen.

<strong>Urheberrecht</strong>

Die durch die Seitenbetreiber erstellten Inhalte und Werke auf diesen Seiten unterliegen dem deutschen Urheberrecht. Die Vervielfältigung, Bearbeitung, Verbreitung und jede Art der Verwertung außerhalb der Grenzen des Urheberrechtes bedürfen der schriftlichen Zustimmung des jeweiligen Autors bzw. Erstellers. Downloads und Kopien dieser Seite sind nur für den privaten, nicht kommerziellen Gebrauch gestattet. Soweit die Inhalte auf dieser Seite nicht vom Betreiber erstellt wurden, werden die Urheberrechte Dritter beachtet. Insbesondere werden Inhalte Dritter als solche gekennzeichnet. Sollten Sie trotzdem auf eine Urheberrechtsverletzung aufmerksam werden, bitten wir um einen entsprechenden Hinweis. Bei Bekanntwerden von Rechtsverletzungen werden wir derartige Inhalte umgehend entfernen.

<strong>Datenschutz</strong>

Die Nutzung unserer Webseite ist in der Regel ohne Angabe personenbezogener Daten möglich. Soweit auf unseren Seiten personenbezogene Daten (beispielsweise Name, Anschrift oder eMail-Adressen) erhoben werden, erfolgt dies, soweit möglich, stets auf freiwilliger Basis. Diese Daten werden ohne Ihre ausdrückliche Zustimmung nicht an Dritte weitergegeben.

Wir weisen darauf hin, dass die Datenübertragung im Internet (z.B. bei der Kommunikation per E-Mail) Sicherheitslücken aufweisen kann. Ein lückenloser Schutz der Daten vor dem Zugriff durch Dritte ist nicht möglich.

Der Nutzung von im Rahmen der Impressumspflicht veröffentlichten Kontaktdaten durch Dritte zur Übersendung von nicht ausdrücklich angeforderter Werbung und Informationsmaterialien wird hiermit ausdrücklich widersprochen. Die Betreiber der Seiten behalten sich ausdrücklich rechtliche Schritte im Falle der unverlangten Zusendung von Werbeinformationen, etwa durch Spam-Mails, vor.

<strong>Datenschutzerklärung für die Nutzung von Google Analytics</strong>

Diese Website benutzt Google Analytics, einen Webanalysedienst der Google Inc. (""Google""). Google Analytics verwendet sog. ""Cookies"", Textdateien, die auf Ihrem Computer gespeichert werden und die eine Analyse der Benutzung der Website durch Sie ermöglichen. Die durch den Cookie erzeugten Informationen über Ihre Benutzung dieser Website werden in der Regel an einen Server von Google in den USA übertragen und dort gespeichert. Im Falle der Aktivierung der IP-Anonymisierung auf dieser Webseite wird Ihre IP-Adresse von Google jedoch innerhalb von Mitgliedstaaten der Europäischen Union oder in anderen Vertragsstaaten des Abkommens über den Europäischen Wirtschaftsraum zuvor gekürzt.

Nur in Ausnahmefällen wird die volle IP-Adresse an einen Server von Google in den USA übertragen und dort gekürzt. Im Auftrag des Betreibers dieser Website wird Google diese Informationen benutzen, um Ihre Nutzung der Website auszuwerten, um Reports über die Websiteaktivitäten zusammenzustellen und um weitere mit der Websitenutzung und der Internetnutzung verbundene Dienstleistungen gegenüber dem Websitebetreiber zu erbringen. Die im Rahmen von Google Analytics von Ihrem Browser übermittelte IP-Adresse wird nicht mit anderen Daten von Google zusammengeführt.

Sie können die Speicherung der Cookies durch eine entsprechende Einstellung Ihrer Browser-Software verhindern; wir weisen Sie jedoch darauf hin, dass Sie in diesem Fall gegebenenfalls nicht sämtliche Funktionen dieser Website vollumfänglich werden nutzen können. Sie können darüber hinaus die Erfassung der durch das Cookie erzeugten und auf Ihre Nutzung der Website bezogenen Daten (inkl. Ihrer IP-Adresse) an Google sowie die Verarbeitung dieser Daten durch Google verhindern, indem sie das unter dem folgenden Link verfügbare Browser-Plugin herunterladen und installieren: <a href=""http://tools.google.com/dlpage/gaoptout?hl=de"">http://tools.google.com/dlpage/gaoptout?hl=de</a>.

<strong>Datenschutzerklärung für die Nutzung von Twitter</strong>

Auf unseren Seiten sind Funktionen des Dienstes Twitter eingebunden. Diese Funktionen werden angeboten durch die Twitter Inc., Twitter, Inc. 1355 Market St, Suite 900, San Francisco, CA 94103, USA. Durch das Benutzen von Twitter und der Funktion ""Re-Tweet"" werden die von Ihnen besuchten Webseiten mit Ihrem Twitter-Account verknüpft und anderen Nutzern bekannt gegeben. Dabei werden auch Daten an Twitter übertragen.

Wir weisen darauf hin, dass wir als Anbieter der Seiten keine Kenntnis vom Inhalt der übermittelten Daten sowie deren Nutzung durch Twitter erhalten. Weitere Informationen hierzu finden Sie in der Datenschutzerklärung von Twitter unter <a href=""http://twitter.com/privacy"" target=""_blank"">http://twitter.com/privacy</a>.

Ihre Datenschutzeinstellungen bei Twitter können Sie in den Konto-Einstellungen unter <a href=""http://twitter.com/account/settings"" target=""_blank"">http://twitter.com/account/settings</a> ändern.

<em>Quellenangaben: <a href=""http://www.e-recht24.de/muster-disclaimer.htm"" target=""_blank"">eRecht24 Disclaimer</a>, <a href=""http://www.google.com/intl/de/analytics/privacyoverview.html"" target=""_blank"">Datenschutzerklärung für Google Analytics</a>, <a href=""http://twitter.com/privacy"" target=""_blank"">Twitter Bedingungen</a></em>";Impressum;"";publish;closed;closed;"";impressum;"";"";2012-10-02 21:09:14;2012-10-02 19:09:14;"";0;http://am-news.eu/?page_id=10;3;page;"";0
16;1;2012-10-02 21:17:53;2012-10-02 19:17:53;http://am-news.local/wp-content/uploads/2012/10/notebookzubehoer.net_1.png;notebookzubehoer.net_1.png;"";inherit;closed;open;"";notebookzubehoer-net_1-png;"";"";2017-07-17 12:36:12;2017-07-17 10:36:12;"";0;http://am-news.local/wp-content/uploads/2012/10/notebookzubehoer.net_1.png;0;attachment;image/png;0
23;1;2012-10-04 21:33:00;2012-10-04 19:33:00;"Auf Kreuz.net habe vor kurzem einem Artikel über Dirk Bach gelesen. In diesem Artikel wird sehr unchristlich über seine Sexuelle Einstellung debattiert. Ob man nun für oder gegen Homosexuelle ist oder nicht, sei erst mal dahin gestellt. Das ist jedem selbst überlassen. Ich kenne persönlich einige Schwule und habe kein Problem mit ihnen. Warum auch?! Ich steh auf Frauen! Das wird akzeptiert und somit sollte man ihre Vorlieben akzeptieren. Außerdem komme Ich gut mit ihnen aus und habe auch gute Schwule Bekannte. Sie sind auch Menschen und sind sogar sehr umgänglich. Warum sollte man dann ein Problem haben?! Hier sollte mehr Akzeptanz gefordert werden. Ja, mittlerweile bin ich auch hier für Gleichstellung. Gleiche Rechte. So nun wisst ihr erst mal wie darüber denke. Kreuz.net - als ich den Artikel las liefen mir innerlich die Tränen. Wie kann man so nur Denken. Vorallem über Menschen, die man anscheinend nicht wirklich kennt und meidet. 
<!--more-->
Diese Seite zieht unglaublicher Weise auch über Juden her. Kurz meine Gedanken hierzu; Juden sind das Volk Gottes und das sollten auch Katholiken wissen, die diese Seite betreiben. Ich halte zwar wenig von der Katholischen Kirche, aber das ist hier zweitrangig. Und als Christ sollte man in Toleranz und vorallem Nächstenliebe anderen ein Vorbild sein. Zurück zum Artikel über Dirk Bach. Zum einen fand ich zwar den Hype über seinen Tod übertrieben, aber ich denke die Privaten Fernsehsender haben maßgeblich dazu beigetragen und ist auch egal. Hier wird sehr intensiv sich über seine sexuelle Einstellung ausgelassen und man wünscht ihm die Hölle... Außerdem werden verschiedene Dinge ihm negativ ausgelegt, wo Ich immer wieder schlucken musste. Ein kurzes Beispiel. Da er ein bekennender schwuler Comedian war, ist er auch Mitglied des LSVD gewesen. Dieser Verband ist so durch Dreck gezogen, kann man sich nicht vorstellen.
Ich habe nun auch schon eine OnlinePetition unterschrieben, damit diese Seite von den kanadischen Behörden lahm gelegt wird. Richtig gelesen von dem KANADISCHEN BEHÖRDEN. Diese Site liegt auf einem kanadischen Server ausserhalb des deutschen Rechtsgebietes. Aber auch in Kanada ist sowas verboten, eas auf dieser Seite passiert - ich rede von Rassismus, Intoleranz und vorallem Volksverhetzung!
Mein Appell an euch: UNTERSTÜTZEN UND MITMACHEN
Artikel: <a href=""http://t.co/JDYh0Ziu"">Kreuz.net</a>
Petition: <a href="" http://t.co/CNoUy8y3"">OnlinePetition</a>
Weiterführender Artikel: <a href=""http://kingalca.de/2012/10/dirk-bach-schwuler-kreuz-net-oder-wieso-ich-der-holle-schmoren-mochte/"">kingalca.de zu kreuz.net</a>";"Kreuz.net - eine deutsche ""christliche"" Website ohne Gleichen";"";publish;closed;open;"";kreuz-net-eine-deutsche-christliche-website-ohne-gleichen;"";"";2017-07-26 20:35:06;2017-07-26 18:35:06;"";0;http://am-news.eu/?p=23;0;post;"";0
26;1;2012-10-07 17:55:11;2012-10-07 15:55:11;"Wenn ich über diese Assoziation nachdenke, wird mir klar, das ich doch vergleichsweise viele Medien nutze, die andere in meinem Alter nicht oder nur wenig nutzen. Zum Beispiel bin ich kein Fan von diesen scripted-reality soaps, wie Frauentausch oder ähnliches. Meiner Meinung nach sollte man in diesen Zeiten etwas senden, dass mehr Wissen vermittelt. Ich will nun nicht Moralapostel sein und nur Bildungsfernsehen haben, aber mittlerweile senden die privaten Fernsehsender zuviel davon es wird den Zuschauern vorgegaukelt es sei alles real... Dem ist nicht so und leider wissen es nicht alle. Es wird nach Drehbuch gespielt, und ""Pannen"" gehören dazu. Damit liegt es auf der Hand, das man eigentlich den Zuschauer ziemlich veräppeln möchte. So nur mal kurz dazu. Außerdem gehören die Privaten jemanden, der natürlich immer möchte das Thema A, aber nicht Thema C besprochen wird. Dadurch kann eine indirekte Zensur entstehen. Bisher konnte ich sowas nicht beobachten und habe auch bisher nichts drüber gelesen das es sowas gab. Es liegt wahrscheinlich daran das viele Medien über sehr viele gleiche Themen berichten, nur auf ihre eigene Art und Weise.<!--more-->

Eine andere Sache ist zum Beispiel, das ich denke, das wenige in meinem Alter zum Beispiel sich freiwillig den Spiegel kaufen und wirklich darin lesen. Heute erst habe ich mir die 41/2012 (meine 2.Spiegelausgabe in Folge) gekauft, weil ich guten Journalismus unterstützen möchte und auch am Inhalt interessiert bin. Ein anderen Grund dieses Medium zu unterstützen ist der, dass vor 50 Jahren es die sogenannte Spiegelaffäre gab und Redakteure und Mitarbeiter sich gegen eine Zensur eines kritischen Artikels zu Wehr gesetz haben und auch Haft in Kauf genommen, um unabhängig zu bleiben und auch für die Pressefreiheit. In der Ausgabe 40/2012 gab es eine Beilage mit den Artikel aus dieser Zeit. Daran kann sehen wie zum einen trotz Beschlagnahmung/Sperrung des Verlagshauses weiter publiziert wurde und zum anderen wie zum diesen Zeitpunkt gute Artikel geschrieben wurden.

Ausser verschiedenen Printmedien, konumiere ich noch eine ganze Menge an OnlineInhalten. Hier ist es von Tag zu Tag unterschiedlich, was und wieiviel ich h interessiert lese. Zum einen unterschiedliche Blogs, zum anderen zeitnahe aktuelle Meldungen des Tages. Hier einen kurze Liste an lesenswerten Blogs und Onlinemedien:
<div>
<ul>
	<li><a href=""http://stadt-bremerhaven.de"" target=""_blank"">stadt-bremerhaven.de</a></li>
	<li><a title="" Netzzpolitik.org"" href=""http://netzpolitik.org"" target=""_blank"">netzpolitik.org</a></li>
	<li><a title=""sebastian-engert.de"" href=""http://sebastian-engert.de"" target=""_blank"">sebastian-engert.de</a></li>
	<li><a title=""kingalaca.de"" href=""http://kingalaca.de"" target=""_blank"">kingalaca.de</a></li>
</ul>
</div>
<!---
<ul>
	<li>Currents</li>
	<li>ITte</li>
	<li>Interessezn</li>
	<li>zone!</li>
	<li>Zeitungen</li>
	<li>Blogs</li>
	<li>ö-r Rundfunk (ARD, ZDF, Sputnik)</li>
	<li>Berlin</li>
	<li>dapd</li>
-->";Medien und ich;"";publish;open;open;"";medien-und-ich;"";"";2012-10-07 17:55:11;2012-10-07 15:55:11;"";0;http://am-news.eu/?p=26;0;post;"";0
30;1;2012-11-06 15:59:27;2012-11-06 13:59:27;"Eigentlich wollte ich iirgendwas anderes nehmen. Nämlich antonmueller.de oder sowas in der Art. Dann dachte ich mir:
<blockquote>""Warum nicht einfach nicht etwas mit News im Namen nehmen?! Damit kann ich auch mal andere Autoren auf meine Seite lassen, bzw. gemeinsam mit anderen an dem einen oder anderen Artikel mal schreiben, aber es ist primär von mir alles.""</blockquote>
Da aber das was ich alles vergeben war nahm ich diesen Namen.";Warum eigentlich am-news.eu;"";draft;open;open;"";warum-eigentlich;"";"";2012-11-06 15:59:27;2012-11-06 13:59:27;"";0;http://am-news.eu/?p=30;0;post;"";0
35;1;2012-10-17 17:51:15;2012-10-17 15:51:15;"Heute sollte ich für die Station Gutscheine aus dem Puppentheater holen. Ich finde es sehr lustig, meist Leute mit Problem in Straßenbahn oder mit vielen Menschen solche Aufträge bekommen. Daher grüble ich gerade warum gerade ich einen solchen Auftrag bekommen habe. Ich habe mit sowas keine Probleme.

Grund dieser Sache, war das unser Ausflugsgeld nicht verfallen sollte. Unser Plan war es Bowlen zu gehen, aber da eine Mitpatienten krank war, konnte dies nicht durchgeführt werden, da sie in der Zeit keine Schwestern da waren.";Stationsauftrag;"";publish;open;open;"";stationsauftrag;"";"";2012-10-17 17:51:15;2012-10-17 15:51:15;"";0;http://am-news.eu/?p=35;0;post;"";0
42;1;2012-11-08 23:21:33;2012-11-08 21:21:33;"Es ist schon wieder etwas her seit meinem letzten Artikel. Aber es gab auch wenig zum schreiben bisher wieder. Nun gut. Gerade bin ich auf dem Weg nach Hamburg zu den <a title=""Jungendmedientage"" href=""https://www.facebook.com/Jugendmedientage"" target=""_blank"">JUGENDMEDIENTAGEN</a> der JugendPresse Deutschland. Das ist der Dachverband der einzelnen JugendPresseVerbände in ganz Deutschland mit Sitz in Berlin. Nun zurück zum eigentlichen Thema: JMT in Hamburg. <!--more-->Hamburg ist eine Medienstadt: Der Spiegel, Die Zeit, Bild, der NDR, die Tagesschau der ARD senden bzw. publizieren von Hier. Ausserdem sitzen hier auch verschiedene andere Redaktionen wie vom ZDF oder auch einige große Werbeagenturen haben sich hier niedergelassen unter anderem Scholz and Friends. Des weiteren ist hier auch die Macromedia Hochschule.

<strong>SAMSTAG - Intensivworkshop bei SPIEGEL ONLINE</strong>

Am Samstag war ich bei Spiegel Online, der Redaktion die hinter <a title=""SPIEGEL ONLINE - Nachrichten"" href=""http://spiegel.de"" target=""_blank"">spiegel.de</a> steht. Dort besuchte ich den Intensivworkshop ""Onlinejournalismus"". Hier wurde den Teilnehmern viel über Hintergründe und Basics des Onlinenarchrichtenjournalismus vom stellvertretenden Chefredakteur <a title=""Impressum: Florian Harms - SPIEGEL ONLINE:"" href=""http://www.spiegel.de/extra/a-632052.html"" target=""_blank"">Florian Harms</a> und den Redakteuren <a title=""Impressum: Hendrik Ternieden - SPIEGEL ONLINE"" href=""http://www.spiegel.de/extra/a-666492.html"" target=""_blank"">Hendrik Ternieden </a>aus dem Resort ""<a title=""Panorama - SPIEGEL ONLINE - Nachrichten"" href=""http://www.spiegel.de/panorama/"" target=""_blank"">Panorama""</a> und <a title=""Impressum: Frauke Lüpke-Narberhaus - SPIEGEL ONLINE"" href=""http://www.spiegel.de/extra/a-720237.html"" target=""_blank"">Frauke Lüpke-Narberhaus</a> aus dem Resort ""<a title=""UniSPIEGEL- SPIEGEL ONLINE - Nachrichten"" href=""http://www.spiegel.de/unispiegel/"" target=""_blank"">Unispiegel</a>/<a title=""SchulSPIEGEL - SPIEGEL ONLINE - Nachrichten"" href=""http://www.spiegel.de/schulspiegel/"" target=""_blank"">Schulspiegel</a>"". Das war unser Programm am Vormittag. Nachdem grandiosen Mittagessen in der SPIEGEL - Kantine wurden wir durch die eigentlichen Redaktionsräume, im 13. Stock des Spiegelhochhauses in der Nähe der Hafen-City, geführt. Hier oben angekommen sind wir einmal einmal durch die gesamte Etage gelaufen. Einmal im Kreis sozusagen. Danach ging es wieder runter in den Konferentraum in der 1. Etage. Nun wurden wir auf einen News-Battle eingestimmt. Im News-Battle ging es darum, dass wir den Alltag in einer Onlinenachrichtenredaktion währedn einer Nachrichtengroßlage nach empfinden können. Dabei ging es bei uns, um einen Flugzeugabsturzt in Berlin-Tegel. Einer der verunglückten Fluggäste war Mick Jagger, was natürlich auch eine ganz großartige Sensationmedlung war. Dadurch waren knapp 3 Stunden beschäftig mit den ganzen Agenturmeldungen im Mailprogramm.

Am Abend waren wir noch im Café Schöne Aussicht, um die Medienmacherparty zufeiern. Hier konnte man sich mit den anderen übere die einzelen Workshops austauschen und dabei das ein oder andere Getränk zu sich nehmen.

<strong>SONNTAG - Medienbrunch und Abschlussveranstalltung beim NDR</strong>";JUGENDMEDIENTAGE in Hamburg;"";publish;open;open;"";jugendmedientage-in-hamburg;"";"";2012-11-08 23:21:33;2012-11-08 21:21:33;"";0;http://am-news.eu/?p=42;0;post;"";0
62;1;2012-12-09 20:11:41;2012-12-09 18:11:41;"Nach einiger Abstinenz nun wieder ein wenig aus meinem brisanten Leben.

Ich hab am Nikolaustag das beste Geschenk bekommen, was man einem 21. jährigen jungen Mann machen kann: einen Mietvertrag und Wohnungschlüssel. ;)

Meine Möbel werden am Mittwoch dort hingeliefert und ich werde mir mein Zimmer einrichten.";Neue Wohnung mitten in der Magdeburger City;"";publish;open;open;"";neue-wohnung-in-magdeburger-city;"";"";2012-12-09 20:11:41;2012-12-09 18:11:41;"";0;http://am-news.eu/?p=62;0;post;"";0
